"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUC ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01 Jul 2015","29","171.50","172.24","0.51","-2.03","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","30","172.02","173.52","0.25","-2.53","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","31","171.00","172.22","0.07","-2.07","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","32","145.77","146.34","0.07","-1.42","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","33","145.39","145.91","0.07","-1.37","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","34","147.05","147.87","0.04","-1.64","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","35","97.69","98.20","0.06","-1.35","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","36","93.15","93.78","0.01","-1.42","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","37","91.67","91.72","0.01","-0.84","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","38","91.61","91.72","0.02","-0.90","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","39","93.85","93.81","0.04","-0.78","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","40","92.89","92.96","0.02","-0.87","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","41","93.78","93.80","0.04","-0.84","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","42","143.36","144.43","0.01","-1.86","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","43","126.96","127.86","0.07","-1.75","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","44","95.73","95.87","0.34","-1.26","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","45","93.83","93.83","0.19","-0.97","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","46","92.77","92.93","0.12","-1.06","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","47","92.95","92.83","0.12","-0.78","0.29","0.2615","0.0000","0.2254"
"WEP","01 Jul 2015","48","91.19","91.17","0.08","-0.84","0.29","0.2615","0.0000","0.2254"
"WEP","02 Jul 2015","1","125.83","124.47","0.09","0.49","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","2","95.89","95.66","0.05","-0.60","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","3","91.15","91.15","0.09","-0.87","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","4","91.05","90.72","0.09","-0.54","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","5","89.51","89.22","0.08","-0.56","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","6","81.65","80.70","0.64","-0.46","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","7","80.88","80.49","0.06","-0.45","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","8","78.50","78.25","0.06","-0.59","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","9","78.54","78.25","0.07","-0.56","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","10","78.51","78.25","0.06","-0.58","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","11","81.01","80.68","0.06","-0.50","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","12","91.23","90.78","0.06","-0.39","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","13","92.96","92.58","0.06","-0.46","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","14","93.63","93.79","0.05","-0.99","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","15","81.00","80.36","0.57","-0.71","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","16","84.43","84.79","0.05","-1.19","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","17","91.83","91.52","0.66","-1.13","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","18","92.52","93.29","0.04","-1.58","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","19","134.92","135.63","0.04","-1.52","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","20","166.51","168.28","0.04","-2.59","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","21","192.52","193.98","0.04","-2.28","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","22","201.96","203.34","0.04","-2.20","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","23","208.09","209.49","0.06","-2.24","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","24","187.34","189.70","0.03","-3.17","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","25","159.35","160.92","0.04","-2.38","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","26","172.43","173.48","0.01","-1.84","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","27","191.73","193.07","0.05","-2.17","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","28","201.82","203.31","0.06","-2.32","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","29","203.29","204.44","0.06","-1.98","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","30","192.65","194.08","0.06","-2.26","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","31","192.33","193.97","0.07","-2.49","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","32","189.50","191.33","0.29","-2.90","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","33","191.03","191.33","0.28","-1.36","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","34","153.77","154.54","0.43","-1.98","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","35","137.84","138.12","0.41","-1.47","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","36","95.58","95.79","0.09","-1.08","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","37","93.18","92.96","0.09","-0.65","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","38","93.60","93.91","0.10","-1.19","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","39","96.07","95.97","0.07","-0.75","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","40","96.23","95.97","0.06","-0.58","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","41","95.81","95.83","0.06","-0.86","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","42","152.06","153.10","0.01","-1.83","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","43","150.31","151.65","0.04","-2.16","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","44","131.74","132.64","0.04","-1.71","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","45","104.67","105.00","0.19","-1.30","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","46","95.67","95.75","0.12","-0.98","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","47","95.09","94.72","0.12","-0.53","0.29","0.2615","0.0000","0.2265"
"WEP","02 Jul 2015","48","90.92","90.88","0.07","-0.80","0.29","0.2615","0.0000","0.2265"
"WEP","03 Jul 2015","1","106.69","104.91","0.46","0.54","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","2","93.83","93.88","0.03","-0.86","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","3","92.60","92.67","0.03","-0.88","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","4","91.48","91.13","0.48","-0.91","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","5","90.89","90.79","0.04","-0.71","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","6","90.91","90.71","0.07","-0.65","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","7","84.06","83.52","0.04","-0.27","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","8","81.15","80.69","0.04","-0.36","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","9","81.19","80.58","0.04","-0.21","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","10","81.26","80.67","0.04","-0.23","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","11","91.26","90.65","0.04","-0.20","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","12","92.93","92.45","0.04","-0.34","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","13","93.91","93.68","0.04","-0.58","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","14","94.36","94.69","0.00","-1.11","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","15","80.10","80.28","0.07","-1.02","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","16","90.77","90.89","0.02","-0.92","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","17","94.18","93.93","0.07","-0.60","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","18","93.50","93.22","0.02","-0.51","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","19","104.31","104.41","0.01","-0.89","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","20","144.54","145.00","0.11","-1.35","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","21","189.67","191.07","0.15","-2.33","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","22","191.09","192.06","0.17","-1.92","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","23","190.08","192.06","0.17","-2.93","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","24","143.87","145.02","0.06","-1.98","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","25","139.86","141.28","0.07","-2.26","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","26","141.39","142.90","0.03","-2.32","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","27","190.03","191.09","0.06","-1.90","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","28","196.36","198.29","0.10","-2.81","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","29","200.44","202.17","0.10","-2.61","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","30","190.52","191.83","0.11","-2.20","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","31","196.10","198.27","0.11","-3.06","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","32","190.00","191.83","0.11","-2.72","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","33","197.28","199.40","0.11","-3.01","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","34","144.14","145.01","0.24","-1.88","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","35","114.75","114.97","0.06","-1.06","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","36","94.15","93.93","0.04","-0.59","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","37","92.00","91.30","0.07","-0.15","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","38","92.99","92.64","0.09","-0.51","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","39","94.25","93.88","0.12","-0.53","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","40","94.15","93.88","0.04","-0.55","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","41","91.95","91.31","0.19","-0.33","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","42","100.13","99.05","0.36","-0.05","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","43","95.24","94.83","0.25","-0.62","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","44","92.67","92.25","0.26","-0.62","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","45","95.58","94.77","0.43","-0.39","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","46","91.32","90.89","0.12","-0.47","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","47","92.22","91.77","0.10","-0.43","0.29","0.2615","0.0000","0.2259"
"WEP","03 Jul 2015","48","88.30","87.90","0.12","-0.50","0.29","0.2615","0.0000","0.2259"
"WEP","04 Jul 2015","1","141.62","143.64","0.05","-2.87","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","2","109.21","109.03","0.04","-0.66","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","3","105.44","104.01","0.88","-0.25","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","4","100.32","98.70","0.90","-0.08","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","5","95.55","94.61","0.01","0.13","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","6","86.76","86.47","0.00","-0.51","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","7","86.77","86.40","0.01","-0.44","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","8","87.09","86.43","0.01","-0.15","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","9","81.42","80.66","0.02","-0.06","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","10","81.07","80.65","0.02","-0.40","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","11","86.28","86.37","0.02","-0.91","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","12","86.19","86.41","0.07","-1.09","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","13","86.96","86.40","0.07","-0.31","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","14","86.65","86.42","0.07","-0.65","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","15","85.66","86.45","0.02","-1.62","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","16","100.40","98.83","0.04","0.73","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","17","94.64","92.78","0.04","1.02","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","18","96.69","94.62","0.34","0.93","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","19","132.49","130.69","0.47","0.53","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","20","205.13","202.14","0.46","1.73","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","21","223.12","222.18","0.53","-0.39","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","22","238.36","237.11","0.44","0.01","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","23","245.14","242.34","0.33","1.67","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","24","203.11","202.11","0.20","0.00","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","25","183.22","181.96","0.21","0.25","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","26","154.99","153.91","0.17","0.11","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","27","139.81","137.80","0.18","1.03","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","28","126.80","125.58","0.19","0.23","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","29","115.29","114.29","0.20","0.00","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","30","94.85","93.89","0.32","-0.17","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","31","88.25","87.55","0.16","-0.26","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","32","88.02","87.52","0.17","-0.47","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","33","86.79","86.40","0.15","-0.56","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","34","80.89","80.69","0.02","-0.62","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","35","80.22","80.37","0.01","-0.96","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","36","79.49","79.36","0.00","-0.67","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","37","85.03","84.75","0.09","-0.61","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","38","98.44","98.57","0.09","-1.02","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","39","141.51","141.77","0.09","-1.15","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","40","146.30","145.91","0.09","-0.50","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","41","146.04","145.90","0.09","-0.75","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","42","145.16","145.91","0.09","-1.64","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","43","144.33","145.91","0.09","-2.47","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","44","123.45","124.36","0.05","-1.76","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","45","99.14","98.63","0.03","-0.32","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","46","96.44","95.61","0.03","-0.01","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","47","101.00","100.93","0.03","-0.76","0.29","0.2615","0.0000","0.2504"
"WEP","04 Jul 2015","48","122.42","122.18","0.09","-0.65","0.29","0.2615","0.0000","0.2504"
"WEP","05 Jul 2015","1","96.71","95.91","0.09","-0.10","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","2","89.16","87.91","0.09","0.35","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","3","88.65","87.89","0.09","-0.14","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","4","85.62","84.52","0.11","0.18","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","5","85.16","84.36","0.08","-0.09","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","6","82.55","80.92","0.95","-0.13","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","7","79.42","78.52","0.02","0.07","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","8","77.14","76.09","0.02","0.22","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","9","77.17","75.60","0.33","0.43","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","10","76.67","75.59","0.07","0.20","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","11","76.43","75.60","0.07","-0.05","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","12","77.48","76.05","0.56","0.06","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","13","77.35","76.10","0.56","-0.12","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","14","76.38","75.61","0.32","-0.36","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","15","76.98","75.62","0.94","-0.39","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","16","81.70","80.39","0.55","-0.05","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","17","88.47","86.40","1.33","-0.07","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","18","90.57","87.86","1.55","0.35","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","19","89.60","88.48","0.21","0.10","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","20","95.40","94.63","0.13","-0.17","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","21","88.73","87.90","0.08","-0.06","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","22","84.97","84.43","0.08","-0.35","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","23","88.31","87.96","0.05","-0.51","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","24","86.87","86.52","0.07","-0.53","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","25","86.67","86.55","0.15","-0.84","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","26","86.93","86.53","0.13","-0.54","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","27","88.24","87.99","0.12","-0.68","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","28","88.27","88.00","0.15","-0.69","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","29","88.35","88.01","0.15","-0.62","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","30","88.21","88.01","0.18","-0.79","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","31","87.26","86.98","0.15","-0.68","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","32","87.61","86.97","0.16","-0.33","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","33","87.59","86.96","0.15","-0.33","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","34","88.91","88.08","0.29","-0.27","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","35","90.22","89.17","0.14","0.10","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","36","112.13","116.38","0.19","-5.25","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","37","197.06","195.78","0.02","0.45","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","38","197.58","196.82","0.04","-0.09","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","39","245.56","246.05","0.20","-1.50","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","40","261.19","259.42","0.19","0.77","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","41","253.64","252.41","0.20","0.22","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","42","303.42","302.73","0.20","-0.32","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","43","303.21","302.76","0.21","-0.57","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","44","282.11","282.70","0.22","-1.62","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","45","261.57","262.51","0.12","-1.87","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","46","245.22","245.92","0.08","-1.59","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","47","237.81","237.33","0.21","-0.54","0.29","0.2615","0.0000","0.2588"
"WEP","05 Jul 2015","48","146.18","145.35","0.09","-0.07","0.29","0.2615","0.0000","0.2588"
"WEP","06 Jul 2015","1","87.79","86.87","0.09","0.05","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","2","82.12","80.70","1.22","-0.57","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","3","82.14","80.70","0.91","-0.25","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","4","77.74","75.63","1.26","0.07","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","5","77.12","75.61","0.80","-0.07","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","6","75.97","75.09","0.08","0.02","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","7","73.69","73.04","0.02","-0.14","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","8","73.07","72.05","0.02","0.22","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","9","73.00","72.05","0.02","0.15","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","10","73.99","73.04","0.02","0.15","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","11","75.98","75.08","0.02","0.10","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","12","81.43","80.66","0.07","-0.08","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","13","89.60","89.01","0.07","-0.26","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","14","95.84","95.48","0.06","-0.48","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","15","79.01","78.70","0.52","-0.99","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","16","99.57","99.12","0.48","-0.81","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","17","161.36","160.97","0.76","-1.15","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","18","183.26","182.46","0.86","-0.83","0.29","0.2615","0.0000","0.2274"
"WEP","06 Jul 2015","19","340.89","340.78","1.81","-2.48","0.29","0.2615","0.0000","0.2274"
